      0.00000000e+00       1.41364801e-01       1.41364801e-01       1.41364801e-01       1.41364801e-01
      1.00000000e+01       8.80246175e-02       8.80246175e-02       8.80246175e-02       8.80246175e-02
      2.00000000e+01       3.11751703e-02       3.11751703e-02       3.11751703e-02       3.11751703e-02
      3.00000000e+01      -2.69171327e-02      -2.69171327e-02      -2.69171327e-02      -2.69171327e-02
      4.00000000e+01      -8.39363345e-02      -8.39363345e-02      -8.39363345e-02      -8.39363345e-02
      5.00000000e+01      -1.37609259e-01      -1.37609259e-01      -1.37609259e-01      -1.37609259e-01
      6.00000000e+01      -1.85796137e-01      -1.85796137e-01      -1.85796137e-01      -1.85796137e-01
      7.00000000e+01      -2.26575908e-01      -2.26575908e-01      -2.26575908e-01      -2.26575908e-01
      8.00000000e+01      -2.58322812e-01      -2.58322812e-01      -2.58322812e-01      -2.58322812e-01
      9.00000000e+01      -2.79771199e-01      -2.79771199e-01      -2.79771199e-01      -2.79771199e-01
      1.00000000e+02      -2.90065991e-01      -2.90065991e-01      -2.90065991e-01      -2.90065991e-01
      1.10000000e+02      -2.88796766e-01      -2.88796766e-01      -2.88796766e-01      -2.88796766e-01
      1.20000000e+02      -2.76014125e-01      -2.76014125e-01      -2.76014125e-01      -2.76014125e-01
      1.30000000e+02      -2.52227671e-01      -2.52227671e-01      -2.52227671e-01      -2.52227671e-01
      1.40000000e+02      -2.18385694e-01      -2.18385694e-01      -2.18385694e-01      -2.18385694e-01
      1.50000000e+02      -1.75837368e-01      -1.75837368e-01      -1.75837368e-01      -1.75837368e-01
      1.60000000e+02      -1.26278961e-01      -1.26278961e-01      -1.26278961e-01      -1.26278961e-01
      1.70000000e+02      -7.16862095e-02      -7.16862095e-02      -7.16862095e-02      -7.16862095e-02
      1.80000000e+02      -1.42355548e-02      -1.42355548e-02      -1.42355548e-02      -1.42355548e-02
      1.90000000e+02       4.37826265e-02       4.37826265e-02       4.37826265e-02       4.37826265e-02
      2.00000000e+02       1.00055332e-01       1.00055332e-01       1.00055332e-01       1.00055332e-01
      2.10000000e+02       1.52339148e-01       1.52339148e-01       1.52339148e-01       1.52339148e-01
      2.20000000e+02       1.98549682e-01       1.98549682e-01       1.98549682e-01       1.98549682e-01
      2.30000000e+02       2.36844665e-01       2.36844665e-01       2.36844665e-01       2.36844665e-01
      2.40000000e+02       2.65697399e-01       2.65697399e-01       2.65697399e-01       2.65697399e-01
      2.50000000e+02       2.83957615e-01       2.83957615e-01       2.83957615e-01       2.83957615e-01
      2.60000000e+02       2.90897336e-01       2.90897336e-01       2.90897336e-01       2.90897336e-01
      2.70000000e+02       2.86239897e-01       2.86239897e-01       2.86239897e-01       2.86239897e-01
      2.80000000e+02       2.70170976e-01       2.70170976e-01       2.70170976e-01       2.70170976e-01
      2.90000000e+02       2.43331190e-01       2.43331190e-01       2.43331190e-01       2.43331190e-01
      3.00000000e+02       2.06790556e-01       2.06790556e-01       2.06790556e-01       2.06790556e-01
      3.10000000e+02       1.62005835e-01       1.62005835e-01       1.62005835e-01       1.62005835e-01
      3.20000000e+02       1.10762451e-01       1.10762451e-01       1.10762451e-01       1.10762451e-01
      3.30000000e+02       5.51033182e-02       5.51033182e-02       5.51033182e-02       5.51033182e-02
      3.40000000e+02      -2.75261041e-03      -2.75261041e-03      -2.75261041e-03      -2.75261041e-03
      3.50000000e+02      -6.04988011e-02      -6.04988011e-02      -6.04988011e-02      -6.04988011e-02
      3.60000000e+02      -1.15833095e-01      -1.15833095e-01      -1.15833095e-01      -1.15833095e-01
      3.70000000e+02      -1.66549489e-01      -1.66549489e-01      -1.66549489e-01      -1.66549489e-01
      3.80000000e+02      -2.10626080e-01      -2.10626080e-01      -2.10626080e-01      -2.10626080e-01
      3.90000000e+02      -2.46305673e-01      -2.46305673e-01      -2.46305673e-01      -2.46305673e-01
      4.00000000e+02      -2.72165835e-01      -2.72165835e-01      -2.72165835e-01      -2.72165835e-01
      4.10000000e+02      -2.87175603e-01      -2.87175603e-01      -2.87175603e-01      -2.87175603e-01
      4.20000000e+02      -2.90736586e-01      -2.90736586e-01      -2.90736586e-01      -2.90736586e-01
      4.30000000e+02      -2.82706817e-01      -2.82706817e-01      -2.82706817e-01      -2.82706817e-01
      4.40000000e+02      -2.63406418e-01      -2.63406418e-01      -2.63406418e-01      -2.63406418e-01
      4.50000000e+02      -2.33604836e-01      -2.33604836e-01      -2.33604836e-01      -2.33604836e-01
      4.60000000e+02      -1.94490166e-01      -1.94490166e-01      -1.94490166e-01      -1.94490166e-01
      4.70000000e+02      -1.47621786e-01      -1.47621786e-01      -1.47621786e-01      -1.47621786e-01
      4.80000000e+02      -9.48681902e-02      -9.48681902e-02      -9.48681902e-02      -9.48681902e-02
      4.90000000e+02      -3.83324991e-02      -3.83324991e-02      -3.83324991e-02      -3.83324991e-02
      5.00000000e+02       1.97313880e-02       1.97313880e-02       1.97313880e-02       1.97313880e-02
      5.10000000e+02       7.70086468e-02       7.70086468e-02       7.70086468e-02       7.70086468e-02
      5.20000000e+02       1.31215814e-01       1.31215814e-01       1.31215814e-01       1.31215814e-01
      5.30000000e+02       1.80191820e-01       1.80191820e-01       1.80191820e-01       1.80191820e-01
      5.40000000e+02       2.21984146e-01       2.21984146e-01       2.21984146e-01       2.21984146e-01
      5.50000000e+02       2.54926664e-01       2.54926664e-01       2.54926664e-01       2.54926664e-01
      5.60000000e+02       2.77706059e-01       2.77706059e-01       2.77706059e-01       2.77706059e-01
      5.70000000e+02       2.89414190e-01       2.89414190e-01       2.89414190e-01       2.89414190e-01
      5.80000000e+02       2.89584289e-01       2.89584289e-01       2.89584289e-01       2.89584289e-01
      5.90000000e+02       2.78209575e-01       2.78209575e-01       2.78209575e-01       2.78209575e-01
      6.00000000e+02       2.55743523e-01       2.55743523e-01       2.55743523e-01       2.55743523e-01
      6.10000000e+02       2.23081782e-01       2.23081782e-01       2.23081782e-01       2.23081782e-01
      6.20000000e+02       1.81526474e-01       1.81526474e-01       1.81526474e-01       1.81526474e-01
      6.30000000e+02       1.32734278e-01       1.32734278e-01       1.32734278e-01       1.32734278e-01
      6.40000000e+02       7.86503848e-02       7.86503848e-02       7.86503848e-02       7.86503848e-02
      6.50000000e+02       2.14309485e-02       2.14309485e-02       2.14309485e-02       2.14309485e-02
      6.60000000e+02      -3.66428722e-02      -3.66428722e-02      -3.66428722e-02      -3.66428722e-02
      6.70000000e+02      -9.32558570e-02      -9.32558570e-02      -9.32558570e-02      -9.32558570e-02
      6.80000000e+02      -1.46151025e-01      -1.46151025e-01      -1.46151025e-01      -1.46151025e-01
      6.90000000e+02      -1.93219612e-01      -1.93219612e-01      -1.93219612e-01      -1.93219612e-01
      7.00000000e+02      -2.32585142e-01      -2.32585142e-01      -2.32585142e-01      -2.32585142e-01
      7.10000000e+02      -2.62678236e-01      -2.62678236e-01      -2.62678236e-01      -2.62678236e-01
      7.20000000e+02      -2.82299177e-01      -2.82299177e-01      -2.82299177e-01      -2.82299177e-01
      7.30000000e+02      -2.90665740e-01      -2.90665740e-01      -2.90665740e-01      -2.90665740e-01
      7.40000000e+02      -2.87444375e-01      -2.87444375e-01      -2.87444375e-01      -2.87444375e-01
      7.50000000e+02      -2.72763510e-01      -2.72763510e-01      -2.72763510e-01      -2.72763510e-01
      7.60000000e+02      -2.47208424e-01      -2.47208424e-01      -2.47208424e-01      -2.47208424e-01
      7.70000000e+02      -2.11797917e-01      -2.11797917e-01      -2.11797917e-01      -2.11797917e-01
      7.80000000e+02      -1.67943694e-01      -1.67943694e-01      -1.67943694e-01      -1.67943694e-01
      7.90000000e+02      -1.17394087e-01      -1.17394087e-01      -1.17394087e-01      -1.17394087e-01
      8.00000000e+02      -6.21643469e-02      -6.21643469e-02      -6.21643469e-02      -6.21643469e-02
      8.10000000e+02      -4.45631056e-03      -4.45631056e-03      -4.45631056e-03      -4.45631056e-03
      8.20000000e+02       5.34293847e-02       5.34293847e-02       5.34293847e-02       5.34293847e-02
      8.30000000e+02       1.09185019e-01       1.09185019e-01       1.09185019e-01       1.09185019e-01
      8.40000000e+02       1.60587790e-01       1.60587790e-01       1.60587790e-01       1.60587790e-01
      8.50000000e+02       2.05588433e-01       2.05588433e-01       2.05588433e-01       2.05588433e-01
      8.60000000e+02       2.42392913e-01       2.42392913e-01       2.42392913e-01       2.42392913e-01
      8.70000000e+02       2.69533952e-01       2.69533952e-01       2.69533952e-01       2.69533952e-01
      8.80000000e+02       2.85929522e-01       2.85929522e-01       2.85929522e-01       2.85929522e-01
      8.90000000e+02       2.90925984e-01       2.90925984e-01       2.90925984e-01       2.90925984e-01
      9.00000000e+02       2.84324145e-01       2.84324145e-01       2.84324145e-01       2.84324145e-01
      9.10000000e+02       2.66387199e-01       2.66387199e-01       2.66387199e-01       2.66387199e-01
      9.20000000e+02       2.37830236e-01       2.37830236e-01       2.37830236e-01       2.37830236e-01
      9.30000000e+02       1.99791732e-01       1.99791732e-01       1.99791732e-01       1.99791732e-01
      9.40000000e+02       1.53788163e-01       1.53788163e-01       1.53788163e-01       1.53788163e-01
      9.50000000e+02       1.01653546e-01       1.01653546e-01       1.01653546e-01       1.01653546e-01
      9.60000000e+02       4.54663227e-02       4.54663227e-02       4.54663227e-02       4.54663227e-02
      9.70000000e+02      -1.25334981e-02      -1.25334981e-02      -1.25334981e-02      -1.25334981e-02
      9.80000000e+02      -7.00336472e-02      -7.00336472e-02      -7.00336472e-02      -7.00336472e-02
      9.90000000e+02      -1.24741775e-01      -1.24741775e-01      -1.24741775e-01      -1.24741775e-01
      1.00000000e+03      -1.74476842e-01      -1.74476842e-01      -1.74476842e-01      -1.74476842e-01
      1.01000000e+03      -2.17256068e-01      -2.17256068e-01      -2.17256068e-01      -2.17256068e-01
      1.02000000e+03      -2.51373982e-01      -2.51373982e-01      -2.51373982e-01      -2.51373982e-01
