      0.00000000e+00       1.32657253e+01       1.00000000e-01       1.31657253e+01      -1.00000000e+00      -1.01422230e+01
      1.00000000e+01       1.32646881e+01       1.12574922e+01       2.00719589e+00      -1.00000000e+00      -1.00922230e+01
      2.00000000e+01       1.32650535e+01       6.89313661e+00       6.37191692e+00      -1.00000000e+00      -1.00422230e+01
      3.00000000e+01       1.32655707e+01       2.28647214e+00       1.09790986e+01      -1.00000000e+00      -9.99222300e+00
      4.00000000e+01       1.32645628e+01       1.20001815e+01       1.26438132e+00      -1.00000000e+00      -9.94222300e+00
      5.00000000e+01       1.32653415e+01       4.34284759e+00       8.92249387e+00      -1.00000000e+00      -9.89222300e+00
      6.00000000e+01       1.32653392e+01       4.48603055e+00       8.77930861e+00      -1.00000000e+00      -9.84222300e+00
      7.00000000e+01       1.32645707e+01       1.18130592e+01       1.45151152e+00      -1.00000000e+00      -9.79222300e+00
      8.00000000e+01       1.32655563e+01       2.51710990e+00       1.07484464e+01      -1.00000000e+00      -9.74222300e+00
      9.00000000e+01       1.32650697e+01       6.67604455e+00       6.58902514e+00      -1.00000000e+00      -9.69222300e+00
      1.00000000e+02       1.32646781e+01       1.13768818e+01       1.88779633e+00      -1.00000000e+00      -9.64222300e+00
      1.10000000e+02       1.32657233e+01       1.37703571e-01       1.31280198e+01      -1.00000000e+00      -9.59222300e+00
      1.20000000e+02       1.32647017e+01       1.10669491e+01       2.19775259e+00      -1.00000000e+00      -9.54222300e+00
      1.30000000e+02       1.32650344e+01       7.16944140e+00       6.09559304e+00      -1.00000000e+00      -9.49222300e+00
      1.40000000e+02       1.32655872e+01       2.01415057e+00       1.12514366e+01      -1.00000000e+00      -9.44222300e+00
      1.50000000e+02       1.32645540e+01       1.22083948e+01       1.05615923e+00      -1.00000000e+00      -9.39222300e+00
      1.60000000e+02       1.32653437e+01       4.20009442e+00       9.06524929e+00      -1.00000000e+00      -9.34222300e+00
      1.70000000e+02       1.32653379e+01       4.60778324e+00       8.65755465e+00      -1.00000000e+00      -9.29222300e+00
      1.80000000e+02       1.32645766e+01       1.16667814e+01       1.59779524e+00      -1.00000000e+00      -9.24222300e+00
      1.90000000e+02       1.32655446e+01       2.69033184e+00       1.05752128e+01      -1.00000000e+00      -9.19222300e+00
      2.00000000e+02       1.32650824e+01       6.52833376e+00       6.73674862e+00      -1.00000000e+00      -9.14222300e+00
      2.10000000e+02       1.32646719e+01       1.14215232e+01       1.84314876e+00      -1.00000000e+00      -9.09222300e+00
      2.20000000e+02       1.32657177e+01       2.47469248e-01       1.30182484e+01      -1.00000000e+00      -9.04222300e+00
      2.30000000e+02       1.32647184e+01       1.08152117e+01       2.44950668e+00      -1.00000000e+00      -8.99222300e+00
      2.40000000e+02       1.32650132e+01       7.48937061e+00       5.77564257e+00      -1.00000000e+00      -8.94222300e+00
      2.50000000e+02       1.32656046e+01       1.71982507e+00       1.15457795e+01      -1.00000000e+00      -8.89222300e+00
      2.60000000e+02       1.32645453e+01       1.24158530e+01       8.48692331e-01      -1.00000000e+00      -8.84222300e+00
